Date,Daily_Carbon_Footprint,Weekly_Carbon_Footprint,Monthly_Carbon_Footprint,Yearly_Carbon_Footprint
2023-01-01,100,700,3000,12000
2023-01-02,105,715,3050,12150
2023-01-03,98,700,2950,11900
2023-01-04,110,770,3300,13200
2023-01-05,90,630,2700,10800
2023-01-06,95,665,2850,11400
2023-01-07,120,840,3600,14400
2023-01-08,112,784,3360,13440
2023-01-09,102,714,3060,12240
2023-01-10,105,735,3150,12600
2023-01-11,98,686,2940,11760
2023-01-12,115,805,3450,13800
2023-01-13,108,756,3240,12960
2023-01-14,100,700,3000,12000
2023-01-15,95,665,2850,11400
2023-01-16,120,840,3600,14400
2023-01-17,110,770,3300,13200
2023-01-18,100,700,3000,12000
2023-01-19,105,735,3150,12600
2023-01-20,92,644,2760,11040
2023-01-21,115,805,3450,13800
2023-01-22,102,714,3060,12240
2023-01-23,108,756,3240,12960
2023-01-24,120,840,3600,14400
2023-01-25,110,770,3300,13200
2023-01-26,95,665,2850,11400
2023-01-27,100,700,3000,12000
2023-01-28,105,735,3150,12600
2023-01-29,98,686,2940,11760
2023-01-30,115,805,3450,13800
2023-01-31,112,784,3360,13440
